SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1289.95,1289.95,1267.15,1280.40,1283.00,1292.15,523,5538,7073728.00,
500003,AEGIS LOGIS ,A ,Q,250.75,252.40,242.10,248.50,248.35,250.75,1500,40386,9992480.00,
500008,AMAR RAJA BA,A ,Q,779.40,779.40,760.00,769.50,770.50,779.40,853,26533,20466126.00,
500009,A.SARABHAI  ,X ,Q,10.84,10.84,10.07,10.08,10.08,10.60,99,68410,698025.00,
500010,HDFC        ,A ,Q,1795.00,1799.00,1776.90,1785.15,1785.15,1808.55,2462,152900,272751764.00,
500012,ANDHRA PETRO,X ,Q,53.00,53.85,51.30,51.35,51.35,54.00,458,160029,8287970.00,
500013,ANSAL INFRAS,B ,Q,20.60,20.80,20.30,20.55,20.35,21.35,118,41657,850998.00,
500014,APPLE FINANC,XT,Q,2.81,2.81,2.81,2.81,2.81,2.95,9,5575,15665.00,
500020,BOM DYEING  ,A ,Q,237.00,245.70,235.05,239.30,239.30,249.90,4474,550112,132413818.00,
500023,ASIANHOTNR  ,T ,Q,290.00,301.95,288.15,291.15,291.15,302.90,12,3003,879335.00,
500024,ASSAMCO     ,B ,Q,4.00,4.35,3.97,4.00,4.02,4.17,139,290159,1165760.00,
500027,ATUL LTD.   ,A ,Q,2591.00,2606.65,2565.05,2595.55,2600.00,2598.40,119,798,2063019.00,
500028,ATV PROJECTS,XT,Q,9.83,10.14,9.34,9.96,10.14,9.83,31,15699,149171.00,
500029,AUTOLITE(I) ,B ,Q,62.40,62.70,59.20,60.60,60.20,63.10,102,30426,1888711.00,
500031,BAJAJ ELECT.,A ,Q,529.00,537.00,514.25,531.20,531.20,537.50,1298,55002,28915009.00,
500032,BAJAJHIND   ,A ,Q,9.00,9.49,9.00,9.25,9.25,9.64,915,1457205,13562520.00,
500033,FORCE MOTR  ,B ,Q,2800.00,2817.00,2750.00,2761.40,2761.40,2845.20,3190,34683,96058971.00,
500034,BAJFINANCE  ,A ,Q,1668.15,1694.75,1660.00,1679.85,1682.50,1694.70,2771,40630,68238690.00,
500038,BALRAM.CHINI,A ,Q,83.00,85.70,82.50,84.80,84.80,87.15,2212,440646,37165892.00,
500039,BANCO PROD. ,B ,Q,217.70,217.70,212.00,212.85,212.85,217.70,183,17120,3648144.00,
500040,CENTURY TEXT,A ,Q,1139.50,1142.55,1118.20,1125.75,1126.00,1150.95,982,38117,43109333.00,
500041,BANNARI AMAN,B ,Q,1600.00,1624.00,1600.00,1602.10,1602.10,1600.00,14,667,1068039.00,
500042,BASF INDIA  ,B ,Q,1950.90,1971.85,1926.10,1966.70,1966.70,1979.65,252,1114,2169259.00,
500043,BATA INDIA  ,A ,Q,705.00,711.60,690.00,707.95,707.95,704.95,662,17106,11958263.00,
500048,BEML LTD    ,A ,Q,1048.00,1060.00,1033.15,1053.80,1053.80,1077.55,2245,58758,61519962.00,
500049,BHARAT ELECT,A ,Q,141.90,141.90,138.30,139.80,139.80,143.45,4133,431673,60297155.00,
500052,BHANSALI ENG,B ,Q,161.90,174.00,159.10,163.30,163.30,166.50,1216,176791,28582936.00,
500055,BHUSH STEEL ,B ,Q,37.50,43.20,37.35,41.65,41.65,39.50,6535,1619534,66203095.00,
500058,BIHAR SPONGE,XT,Q,1.96,2.00,1.96,1.96,1.96,2.06,8,2781,5462.00,
500059,BINANI IND. ,B ,Q,90.00,90.00,88.05,88.15,88.45,92.65,226,23474,2071475.00,
500060,BIRLACABLE  ,B ,Q,59.65,60.70,58.70,59.80,59.80,60.75,51,4356,261304.00,
500067,BLUE STAR   ,A ,Q,760.50,761.00,736.40,744.90,746.90,760.50,198,2078,1547220.00,
500068,DISA INDIA  ,X ,Q,6000.00,6200.00,6000.00,6200.00,6200.00,6111.45,9,5064,30384800.00,
500069,BNK CAPITAL ,X ,Q,92.00,99.00,92.00,94.00,94.00,98.80,14,1582,149933.00,
500074,BPL LTD.    ,B ,Q,71.95,73.25,70.05,71.25,71.25,75.00,1359,136049,9756928.00,
500078,OAL         ,X ,Q,881.00,885.00,860.00,866.20,864.00,880.25,59,2074,1798365.00,
500083,CENTURY EXT ,B ,Q,5.28,5.28,5.19,5.19,5.19,5.46,14,6309,32774.00,
